Date,Open,High,Low,Close,Volume,Adj Close
2008-02-29,61.65,62.20,60.00,61.50,7646800,50.56
2008-02-28,62.35,62.35,61.30,61.45,4409200,50.52
2008-02-27,63.50,64.00,61.80,62.35,5684400,51.26
2008-02-26,63.50,63.80,62.20,63.40,2582500,52.12
2008-02-25,61.00,63.25,61.00,62.80,7493600,51.63
2008-02-22,59.35,60.95,59.30,60.50,3730200,49.74
2008-02-21,59.90,60.80,59.20,60.20,4228500,49.49
2008-02-20,59.55,59.90,58.65,59.10,5046200,48.59
2008-02-19,61.00,61.30,59.85,60.10,1883200,49.41
2008-02-18,59.80,61.00,59.70,60.55,3102700,49.78
2008-02-15,59.70,60.50,59.10,59.75,6993800,49.12
2008-02-14,61.50,62.10,60.40,60.80,7093000,49.99
2008-02-13,62.00,62.00,61.05,61.25,5516000,50.36
2008-02-12,61.20,62.35,61.00,61.00,6297100,50.15
2008-02-11,62.35,64.25,60.85,60.85,6583000,50.03
2008-02-08,63.05,63.05,63.05,63.05,000,51.84
2008-02-07,63.05,63.05,63.05,63.05,000,51.84
2008-02-06,63.00,65.00,62.50,63.05,6159400,51.84
2008-02-05,63.75,67.00,63.60,65.50,7071800,53.85
2008-02-04,62.75,65.00,62.75,64.45,8458500,52.99
2008-02-01,61.70,63.40,61.65,62.85,8518900,51.67
2008-01-31,61.50,62.25,61.40,61.75,10519300,50.77
2008-01-30,60.50,62.00,60.00,61.80,10017800,50.81
2008-01-29,60.10,61.40,60.00,60.75,7679700,49.94
2008-01-28,60.00,61.50,59.40,59.60,9219500,49.00
2008-01-25,61.50,61.80,60.00,61.55,9222900,50.60
2008-01-24,59.50,61.20,59.20,60.00,10619300,49.33
2008-01-23,59.50,60.60,58.00,60.55,13152200,49.78
2008-01-22,58.60,59.25,54.00,57.80,17973700,47.52
2008-01-21,59.05,60.85,58.60,60.25,6365500,49.53
2008-01-18,59.75,61.10,58.90,60.55,9740500,49.78
2008-01-17,58.60,60.70,58.60,60.00,8993400,49.33
2008-01-16,60.00,60.50,58.35,58.50,10523400,48.10
2008-01-15,60.50,61.15,60.30,60.70,8015700,49.90
2008-01-14,59.50,61.35,58.80,61.10,11973900,50.23
2008-01-11,58.30,59.45,57.90,58.70,10828000,48.26
2008-01-10,59.00,59.10,57.80,58.65,10575100,48.22
2008-01-09,57.30,58.80,57.10,58.45,7983500,48.05
2008-01-08,57.85,59.10,57.60,57.85,12348500,47.56
2008-01-07,54.10,57.35,54.10,57.25,10183300,47.07
2008-01-04,53.90,56.90,53.90,55.70,12459100,45.79
2008-01-03,53.15,53.80,53.00,53.60,3540700,44.07
2008-01-02,53.50,53.90,53.00,53.90,1621600,44.31
2008-01-01,53.25,53.25,53.25,53.25,000,43.78
2007-12-31,53.35,53.75,53.20,53.25,1680500,43.78
2007-12-28,54.15,54.15,53.05,53.25,2392300,43.78
2007-12-27,54.70,54.80,53.75,53.75,2647000,44.19
2007-12-26,54.60,54.60,54.60,54.60,000,44.89
2007-12-25,54.60,54.60,54.60,54.60,000,44.89
2007-12-24,54.90,55.15,54.20,54.60,2453000,44.89
2007-12-21,53.70,54.60,53.20,54.55,2941800,44.85
2007-12-20,53.65,53.95,53.05,53.70,1684000,44.15
2007-12-19,53.35,53.85,53.05,53.80,3722900,44.23
2007-12-18,52.30,53.95,52.30,53.90,5226300,44.31
2007-12-17,53.45,54.00,52.80,52.85,3570800,43.45
2007-12-14,54.30,54.45,53.00,53.85,5599900,44.27
2007-12-13,53.95,54.10,52.75,53.35,5885300,43.86
2007-12-12,53.15,54.45,53.15,53.60,3817800,44.07
2007-12-11,53.80,54.40,53.50,54.40,3812800,44.72
2007-12-10,54.45,54.45,53.40,54.00,6398600,44.40
2007-12-07,53.55,54.65,52.85,53.05,6929400,43.61
2007-12-06,53.90,54.90,53.35,54.05,5026700,44.44
2007-12-05,53.45,54.80,53.15,53.90,9201800,44.31
2007-12-04,52.00,53.80,52.00,53.70,7096400,44.15
2007-12-03,53.15,53.45,52.30,52.35,4934600,43.04
2007-11-30,53.25,53.25,52.60,52.80,6236400,43.41
2007-11-29,53.00,53.85,52.85,53.50,10550900,43.98
2007-11-28,51.60,52.85,51.60,52.40,3657400,43.08
